,Ссылка,Стоимость,Тип участка,Площадь в сотках,Стоимость 1 сотки,Адрес,Дата,Дата прим.
17,https://www.avito.ru/yutsa/zemelnye_uchastki/uchastok_100sot._izhs_3168536225,100000,ИЖС,100.0,1000,пос. Джуца,17.08.2023,18 часов назад
18,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_77sot._snt_dnp_2567929077,1100000,"СНТ, ДНП",7.7,142857,пос. Приозёрный,16.08.2023,1 день назад
19,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_5sot._snt_dnp_3020217843,650000,"СНТ, ДНП",5.0,130000,"Ставрополь, садовое товарищество Лесная Поляна-2",17.08.2023,2 часа назад
20,https://www.avito.ru/praskoveya/zemelnye_uchastki/uchastok_10sot._izhs_2549662334,550000,ИЖС,10.0,55000,с. Прасковея,17.08.2023,2 часа назад
21,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zemelnye_uchastki/uchastok_136sot._izhs_3189787169,6000000,ИЖС,13.6,441176,Михайловск,12.08.2023,5 дней назад
22,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zemelnye_uchastki/uchastok_12sot._izhs_3361830030,2400000,ИЖС,12.0,200000,Михайловск,15.08.2023,2 дня назад
23,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._snt_dnp_3241417857,900000,"СНТ, ДНП",6.0,150000,"Ставрополь, садовое товарищество Комплекс-2",17.08.2023,5 минут назад
24,https://www.avito.ru/nadezda/zemelnye_uchastki/uchastok_45ga_izhs_3195336280,4000000,ИЖС,450.0,8888,с. Надежда,17.08.2023,10 часов назад
25,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_45sot._izhs_2175228375,3300000,ИЖС,4.5,733333,Ставрополь,17.08.2023,14 часов назад
26,https://www.avito.ru/staromarevka/zemelnye_uchastki/uchastok_30sot._izhs_2697596720,3200000,ИЖС,30.0,106666,Старомарьевка,16.08.2023,1 день назад
27,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._snt_dnp_3310321948,3500000,"СНТ, ДНП",6.0,583333,"Ставрополь, садовое товарищество Победа-2",17.08.2023,40 минут назад
28,https://www.avito.ru/kurskaya/zemelnye_uchastki/uchastok_12sot._izhs_3262046720,150000,ИЖС,12.0,12500,станица Курская,17.08.2023,22 часа назад
29,https://www.avito.ru/novopavlovsk/zemelnye_uchastki/uchastok_27sot._izhs_1797175761,15000000,ИЖС,27.0,555555,Новопавловск,11.08.2023,6 дней назад
30,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_45sot._snt_dnp_2503261093,1999999,"СНТ, ДНП",4.5,444444,"Ставрополь, садовое товарищество Гвоздика",17.08.2023,4 часа назад
31,https://www.avito.ru/yasnaya_polyana/zemelnye_uchastki/uchastok_7sot._izhs_2967639027,600,ИЖС,7.0,85,пос. Ясная Поляна,17.08.2023,2 часа назад
32,https://www.avito.ru/yutsa/zemelnye_uchastki/uchastok_10sot._izhs_890577180,350000,ИЖС,10.0,35000,с. Юца,17.08.2023,4 часа назад
33,https://www.avito.ru/pyatigorsk/zemelnye_uchastki/uchastok_85sot._izhs_3303633756,5200000,ИЖС,8.5,611764,"с. Золотушка, ДНТ Ботанический сад",13.08.2023,4 дня назад
34,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_91sot._snt_dnp_2764025352,1200000,"СНТ, ДНП",9.1,131868,"Ставрополь, садовое товарищество Мечта-2",15.08.2023,2 дня назад
35,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_4sot._snt_dnp_3352443075,1800000,"СНТ, ДНП",4.0,450000,"Ставрополь, садовое товарищество Ландыш",17.08.2023,1 час назад
36,https://www.avito.ru/pyatigorskiy/zemelnye_uchastki/uchastok_15_sot._izhs_2236437880,400000,ИЖС,15.0,26666,пос. Пятигорский,17.08.2023,54 минуты назад
37,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_5_sot._izhs_2282974923,3000000,ИЖС,5.0,600000,Ставрополь,12.08.2023,5 дней назад
38,https://www.avito.ru/beshpagir/zemelnye_uchastki/uchastok_20ga_snt_dnp_3173537988,400000,"СНТ, ДНП",2000.0,200,пос. Верхний Янкуль,17.08.2023,16 часов назад
39,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_52sot._snt_dnp_3167610519,1400000,"СНТ, ДНП",5.2,269230,"Ставрополь, садовое товарищество Мечта-2",17.08.2023,11 часов назад
40,https://www.avito.ru/mineralnye_vody/zemelnye_uchastki/uchastok_3sot._snt_dnp_3343810321,500,"СНТ, ДНП",3.0,166,"Минеральные Воды, СНТ Железнодорожник",17.08.2023,11 часов назад
41,https://www.avito.ru/pyatigorsk/zemelnye_uchastki/uchastok_8sot._izhs_2997875826,4850000,ИЖС,8.0,606250,"с. Золотушка, ДНТ Ботанический сад",17.08.2023,14 часов назад
42,https://www.avito.ru/verhnerusskoe/zemelnye_uchastki/uchastok_6sot._izhs_3124905525,1750000,ИЖС,6.0,291666,с. Верхнерусское,17.08.2023,1 час назад
43,https://www.avito.ru/zheleznovodsk/zemelnye_uchastki/uchastok_9sot._izhs_3289187274,3000000,ИЖС,9.0,333333,пос. Железноводский,17.08.2023,1 час назад
44,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._izhs_891720243,2500000,ИЖС,6.0,416666,Ставрополь,17.08.2023,22 часа назад
45,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_12sot._izhs_2303554260,1400000,ИЖС,12.0,116666,"Ставрополь, садовое товарищество Комплекс-2",17.08.2023,22 часа назад
46,https://www.avito.ru/zolskaya/zemelnye_uchastki/uchastok_8sot._izhs_2938149475,400000,ИЖС,8.0,50000,станица Зольская,17.08.2023,29 минут назад
47,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_73sot._snt_dnp_3207361315,2150000,"СНТ, ДНП",7.3,294520,"с. Верхнерусское, садоводческое некоммерческое товарищество Радонеж",11.08.2023,6 дней назад
48,https://www.avito.ru/blagodarnyy/zemelnye_uchastki/uchastok_15sot._izhs_3241956468,1000000,ИЖС,15.0,66666,Благодарный,17.08.2023,1 час назад
49,https://www.avito.ru/mineralnye_vody/zemelnye_uchastki/uchastok_8sot._izhs_742425772,1900000,ИЖС,8.0,237500,хутор Красный Пахарь,17.08.2023,9 часов назад
50,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_9sot._izhs_3297623810,5050000,ИЖС,9.0,561111,Ставрополь,17.08.2023,14 часов назад
51,https://www.avito.ru/barsukovskaya/zemelnye_uchastki/uchastok_18sot._izhs_2164590090,500000,ИЖС,18.0,27777,станица Барсуковская,17.08.2023,3 часа назад
52,https://www.avito.ru/essentukskaya/zemelnye_uchastki/uchastok_61sot._izhs_3117916862,1550000,ИЖС,6.1,254098,станица Ессентукская,17.08.2023,15 часов назад
53,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zemelnye_uchastki/uchastok_6sot._snt_dnp_2940324958,80000,"СНТ, ДНП",6.0,13333,садовое товарищество Авиатор,16.08.2023,1 день назад
54,https://www.avito.ru/moskovskoe/zemelnye_uchastki/uchastok_17sot._izhs_2360456532,1000000,ИЖС,17.0,58823,Московское,17.08.2023,2 часа назад
55,https://www.avito.ru/novoaleksandrovsk/zemelnye_uchastki/uchastok_67sot._izhs_3249433788,350000,ИЖС,6.7,52238,Новоалександровск,17.08.2023,16 часов назад
56,https://www.avito.ru/stavropolskiy_kray_severnoe/zemelnye_uchastki/uchastok_45sot._snt_dnp_3030700218,2500000,"СНТ, ДНП",4.5,555555,с. Калиновское,13.08.2023,4 дня назад
57,https://www.avito.ru/pokoynoe/zemelnye_uchastki/uchastok_13ga_izhs_2703831566,650000,ИЖС,1300.0,500,с. Покойное,17.08.2023,10 часов назад
58,https://www.avito.ru/stavropolskiy_kray_sovetskaya/zemelnye_uchastki/uchastok_98_ga_snt_dnp_3021750144,1000000,"СНТ, ДНП",980.0000000000001,1020,с. Ростовановское,17.08.2023,1 час назад
59,https://www.avito.ru/inozemtsevo_kp/zemelnye_uchastki/uchastok_4sot._izhs_3260149014,2200000,ИЖС,4.0,550000,пос. Иноземцево,17.08.2023,4 часа назад
60,https://www.avito.ru/ipatovo/zemelnye_uchastki/uchastok_10sot._snt_dnp_3039048228,2900000,"СНТ, ДНП",10.0,290000,Ипатово,17.08.2023,18 часов назад
61,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._snt_dnp_2552293403,600000,"СНТ, ДНП",6.0,100000,"Ставрополь, садовое товарищество Вольница-2",12.08.2023,5 дней назад
62,https://www.avito.ru/verhnerusskoe/zemelnye_uchastki/uchastok_6sot._izhs_2976105116,650000,ИЖС,6.0,108333,с. Верхнерусское,17.08.2023,18 часов назад
63,https://www.avito.ru/balahonovskoe/zemelnye_uchastki/uchastok_30sot._izhs_2665794351,340000,ИЖС,30.0,11333,с. Балахоновское,17.08.2023,12 часов назад
64,https://www.avito.ru/praskoveya/zemelnye_uchastki/uchastok_14sot._izhs_3087512347,500000,ИЖС,14.0,35714,с. Прасковея,17.08.2023,15 часов назад
65,https://www.avito.ru/essentukskaya/zemelnye_uchastki/uchastok_12sot._izhs_2240295251,2800000,ИЖС,12.0,233333,станица Ессентукская,17.08.2023,18 часов назад
66,https://www.avito.ru/demino/zemelnye_uchastki/uchastok_7_sot._izhs_2349867209,1500000,ИЖС,7.0,214285,Ставрополь,17.08.2023,12 часов назад
67,https://www.avito.ru/podkumok/zemelnye_uchastki/uchastok_5sot._snt_dnp_2632669222,470000,"СНТ, ДНП",5.0,94000,пос. Подкумок,16.08.2023,1 день назад
68,https://www.avito.ru/yutsa/zemelnye_uchastki/uchastok_6sot._izhs_2503314144,699000,ИЖС,6.0,116500,с. Юца,17.08.2023,13 часов назад
69,https://www.avito.ru/stavropolskiy_kray_arhangelskoe/zemelnye_uchastki/uchastok_20_sot._izhs_2855341893,250000,ИЖС,20.0,12500,с. Архангельское,17.08.2023,14 часов назад
70,https://www.avito.ru/etoka/zemelnye_uchastki/uchastok_15sot._izhs_990334101,400000,ИЖС,15.0,26666,Этока,17.08.2023,11 часов назад
71,https://www.avito.ru/nadezda/zemelnye_uchastki/uchastok_20sot._promnaznacheniya_1880526432,7300000,промназначения,20.0,365000,с. Надежда,17.08.2023,16 часов назад
72,https://www.avito.ru/staromarevka/zemelnye_uchastki/uchastok_75sot._snt_dnp_1779348161,650000,"СНТ, ДНП",7.5,86666,с. Старомарьевка,17.08.2023,3 часа назад
73,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_62sot._izhs_3262090298,7200000,ИЖС,6.2,1161290,Ставрополь,17.08.2023,14 часов назад
74,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_52sot._snt_dnp_3050658705,900000,"СНТ, ДНП",5.2,173076,"Ставрополь, садовое товарищество Мечта-2",17.08.2023,12 часов назад
75,https://www.avito.ru/verhnerusskoe/zemelnye_uchastki/uchastok_904ga_snt_dnp_3213741574,700000,"СНТ, ДНП",903.9999999999999,774,с. Верхнерусское,16.08.2023,1 день назад
76,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_62sot._izhs_3293195706,2700000,ИЖС,6.2,435483,"Ставрополь, садовое товарищество Импульс",17.08.2023,13 часов назад
77,https://www.avito.ru/aleksandriyskaya/zemelnye_uchastki/uchastok_6sot._izhs_2234884266,550000,ИЖС,6.0,91666,станица Александрийская,17.08.2023,13 часов назад
78,https://www.avito.ru/podkumok/zemelnye_uchastki/uchastok_87sot._izhs_262738399,1000000,ИЖС,8.7,114942,Подкумок,16.08.2023,1 день назад
79,https://www.avito.ru/svobody/zemelnye_uchastki/uchastok_5sot._snt_dnp_2690536774,900000,"СНТ, ДНП",5.0,180000,СТ Дубрава,17.08.2023,15 часов назад
80,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_64_sot._snt_dnp_2176756033,1100000,"СНТ, ДНП",6.4,171875,"Ставрополь, садовое товарищество Октябрьское",17.08.2023,11 часов назад
81,https://www.avito.ru/barsukovskaya/zemelnye_uchastki/uchastok_45sot._izhs_2200226221,850000,ИЖС,45.0,18888,станица Барсуковская,11.08.2023,6 дней назад
82,https://www.avito.ru/essentukskaya/zemelnye_uchastki/uchastok_6sot._izhs_2824995831,1600000,ИЖС,6.0,266666,станица Ессентукская,17.08.2023,16 часов назад
83,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._snt_dnp_3337913070,3600000,"СНТ, ДНП",6.0,600000,"Ставрополь, садовое товарищество Механизатор-2",17.08.2023,15 часов назад
84,https://www.avito.ru/dmitrievskoe/zemelnye_uchastki/uchastok_73_ga_snt_dnp_1665160125,1750000,"СНТ, ДНП",730.0,2397,Дмитриевское,17.08.2023,19 часов назад
85,https://www.avito.ru/etoka/zemelnye_uchastki/uchastok_10sot._izhs_2902950681,520000,ИЖС,10.0,52000,с. Этока,17.08.2023,11 часов назад
86,https://www.avito.ru/stavropolskiy_kray_aleksandrovskoe/zemelnye_uchastki/uchastok_8ga_snt_dnp_3245657524,1000000,"СНТ, ДНП",800.0,1250,с. Александровское,17.08.2023,15 часов назад
87,https://www.avito.ru/nadezda/zemelnye_uchastki/uchastok_10sot._izhs_3366197629,2000000,ИЖС,10.0,200000,с. Надежда,16.08.2023,1 день назад
88,https://www.avito.ru/konstantinovskoe/zemelnye_uchastki/uchastok_35ga_snt_dnp_854415028,4800000,"СНТ, ДНП",350.0,13714,с. Константиновское,17.08.2023,15 часов назад
89,https://www.avito.ru/zelenokumsk/zemelnye_uchastki/uchastok_6sot._izhs_2593525902,80000,ИЖС,6.0,13333,Зеленокумск,17.08.2023,5 часов назад
90,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_11sot._snt_dnp_2444883699,1450000,"СНТ, ДНП",11.0,131818,Ставрополь,16.08.2023,1 день назад
91,https://www.avito.ru/nadezda/zemelnye_uchastki/uchastok_226sot._izhs_3176671968,650000,ИЖС,22.6,28761,хутор Ташла,17.08.2023,18 часов назад
92,https://www.avito.ru/barsukovskaya/zemelnye_uchastki/uchastok_15sot._izhs_3226807753,350000,ИЖС,15.0,23333,станица Барсуковская,17.08.2023,15 часов назад
93,https://www.avito.ru/pyatigorsk/zemelnye_uchastki/uchastok_115sot._snt_dnp_3204675247,800000,"СНТ, ДНП",11.5,69565,"Пятигорск, СТ Горка",16.08.2023,1 день назад
94,https://www.avito.ru/nevinnomyssk/zemelnye_uchastki/uchastok_4sot._snt_dnp_2487708237,300000,"СНТ, ДНП",4.0,75000,"Невинномысск, СНТ Квант",17.08.2023,3 часа назад
95,https://www.avito.ru/essentuki/zemelnye_uchastki/uchastok_6sot._izhs_2733884287,1250000,ИЖС,6.0,208333,пос. Санамер,17.08.2023,4 часа назад
96,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._snt_dnp_3087100047,990000,"СНТ, ДНП",6.0,165000,"Ставрополь, садовое товарищество Грушовое",17.08.2023,17 часов назад
97,https://www.avito.ru/demino/zemelnye_uchastki/uchastok_12sot._izhs_2539110018,480000,ИЖС,12.0,40000,хутор Холодногорский,17.08.2023,21 час назад
98,https://www.avito.ru/podkumok/zemelnye_uchastki/uchastok_6sot._izhs_3031148258,750000,ИЖС,6.0,125000,СТ Подснежник,16.08.2023,1 день назад
99,https://www.avito.ru/budennovsk/zemelnye_uchastki/uchastok_14sot._izhs_3353752862,150000,ИЖС,14.0,10714,пос. Доброжеланный,17.08.2023,14 часов назад
100,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._izhs_2993973319,3000000,ИЖС,6.0,500000,с. Татарка,17.08.2023,15 часов назад
101,https://www.avito.ru/yutsa/zemelnye_uchastki/uchastok_11sot._izhs_2060540195,750000,ИЖС,11.0,68181,с. Юца,16.08.2023,1 день назад
102,https://www.avito.ru/tatarka/zemelnye_uchastki/uchastok_8sot._izhs_2413133905,3000000,ИЖС,8.0,375000,с. Татарка,17.08.2023,13 часов назад
103,https://www.avito.ru/kazminskoe/zemelnye_uchastki/uchastok_7sot._izhs_3037648779,500000,ИЖС,7.0,71428,с. Казьминское,17.08.2023,12 часов назад
104,https://www.avito.ru/lysogorskaya/zemelnye_uchastki/uchastok_20ga_snt_dnp_1930505133,9500000,"СНТ, ДНП",2000.0,4750,Лысогорская,17.08.2023,20 часов назад
105,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_8sot._snt_dnp_3054608033,500000,"СНТ, ДНП",8.0,62500,садовое товарищество Пищевик,17.08.2023,18 часов назад
106,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_85sot._izhs_2257547523,3000000,ИЖС,8.5,352941,Ставрополь,17.08.2023,22 часа назад
107,https://www.avito.ru/novoblagodarnoe/zemelnye_uchastki/uchastok_15sot._izhs_1068299521,1200000,ИЖС,15.0,80000,с. Новоблагодарное,17.08.2023,11 часов назад
108,https://www.avito.ru/goryachevodskiy/zemelnye_uchastki/uchastok_5sot._izhs_3362644186,100000,ИЖС,5.0,20000,пос. Горячеводский,11.08.2023,6 дней назад
109,https://www.avito.ru/nagutskoe/zemelnye_uchastki/uchastok_15sot._izhs_1991000032,249000,ИЖС,15.0,16600,с. Розовка,17.08.2023,14 часов назад
110,https://www.avito.ru/nadezda/zemelnye_uchastki/uchastok_75sot._izhs_3019550130,800000,ИЖС,7.5,106666,с. Надежда,17.08.2023,20 часов назад
111,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_112sot._snt_dnp_3262605361,385000,"СНТ, ДНП",11.2,34375,"Ставрополь, садовое товарищество Оптрон-2",16.08.2023,1 день назад
112,https://www.avito.ru/essentuki/zemelnye_uchastki/uchastok_45sot._izhs_3244831517,3000000,ИЖС,4.5,666666,Ессентуки,17.08.2023,12 часов назад
113,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_55sot._izhs_2067343905,3300000,ИЖС,5.5,600000,Ставрополь,17.08.2023,20 часов назад
114,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._izhs_3302938883,3450000,ИЖС,6.0,575000,с. Татарка,17.08.2023,20 часов назад
115,https://www.avito.ru/nadezda/zemelnye_uchastki/uchastok_15sot._izhs_2359377408,800000,ИЖС,15.0,53333,с. Надежда,14.08.2023,3 дня назад
116,https://www.avito.ru/goryachevodskiy/zemelnye_uchastki/uchastok_8_sot._snt_dnp_1605857825,600000,"СНТ, ДНП",8.0,75000,Горячеводский,17.08.2023,16 часов назад
117,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._izhs_3176239563,3400000,ИЖС,6.0,566666,с. Татарка,17.08.2023,16 часов назад
118,https://www.avito.ru/levokumka/zemelnye_uchastki/uchastok_6sot._izhs_709786558,400000,ИЖС,6.0,66666,с. Левокумка,16.08.2023,1 день назад
119,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zemelnye_uchastki/uchastok_6sot._izhs_2940322197,550000,ИЖС,6.0,91666,садовое товарищество Авиатор,17.08.2023,14 часов назад
120,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_12sot._snt_dnp_1994827135,790000,"СНТ, ДНП",12.0,65833,"Ставрополь, садовое товарищество Вольница-2",17.08.2023,22 часа назад
121,https://www.avito.ru/essentukskaya/zemelnye_uchastki/uchastok_6sot._izhs_2137948602,2100000,ИЖС,6.0,350000,станица Ессентукская,17.08.2023,23 часа назад
122,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_45sot._snt_dnp_2854946184,550000,"СНТ, ДНП",4.5,122222,"Ставрополь, СТ Анилин",17.08.2023,16 часов назад
123,https://www.avito.ru/nezhinskiy/zemelnye_uchastki/uchastok_6sot._izhs_2382812593,1850000,ИЖС,6.0,308333,Нежинский,16.08.2023,1 день назад
124,https://www.avito.ru/demino/zemelnye_uchastki/uchastok_6sot._snt_dnp_3332705397,580000,"СНТ, ДНП",6.0,96666,"Ставрополь, садовое товарищество Химреактив",16.08.2023,1 день назад
125,https://www.avito.ru/novotroitskaya/zemelnye_uchastki/uchastok_15sot._izhs_3159027430,350000,ИЖС,15.0,23333,станица Новотроицкая,17.08.2023,16 часов назад
126,https://www.avito.ru/kurskaya/zemelnye_uchastki/uchastok_8sot._izhs_3366631057,300000,ИЖС,8.0,37500,станица Курская,16.08.2023,1 день назад
127,https://www.avito.ru/kislovodsk/zemelnye_uchastki/uchastok_85sot._snt_dnp_2287105219,1500000,"СНТ, ДНП",8.5,176470,Кисловодск,17.08.2023,20 часов назад
128,https://www.avito.ru/solnechnodolsk/zemelnye_uchastki/uchastok_15sot._izhs_3365404350,550000,ИЖС,15.0,36666,пос. Солнечнодольск,17.08.2023,21 час назад
129,https://www.avito.ru/tatarka/zemelnye_uchastki/uchastok_125sot._izhs_3283810857,1950000,ИЖС,12.5,156000,с. Татарка,15.08.2023,2 дня назад
130,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_45sot._izhs_3198773124,650000,ИЖС,4.5,144444,"Ставрополь, СТ Анилин",17.08.2023,19 часов назад
131,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_75sot._izhs_3050478807,5650000,ИЖС,7.5,753333,Ставрополь,16.08.2023,1 день назад
132,https://www.avito.ru/svobody/zemelnye_uchastki/uchastok_13sot._izhs_3216928840,5600000,ИЖС,13.0,430769,пос. Свободы,17.08.2023,20 часов назад
133,https://www.avito.ru/stavropolskiy_kray_pervomayskiy/zemelnye_uchastki/uchastok_22ga_snt_dnp_2290134425,4000000,"СНТ, ДНП",2200.0,1818,пос. Загорский,16.08.2023,1 день назад
134,https://www.avito.ru/zolskaya/zemelnye_uchastki/uchastok_10sot._izhs_3366625598,200000,ИЖС,10.0,20000,станица Зольская,17.08.2023,18 часов назад
135,https://www.avito.ru/zheleznovodsk/zemelnye_uchastki/uchastok_4ga_snt_dnp_2983135942,800000,"СНТ, ДНП",400.0,2000,Железноводск,13.08.2023,4 дня назад
136,https://www.avito.ru/nevinnomyssk/zemelnye_uchastki/uchastok_6sot._izhs_2971722778,1600000,ИЖС,6.0,266666,Невинномысск,17.08.2023,22 часа назад
137,https://www.avito.ru/ivanovskoe/zemelnye_uchastki/uchastok_18sot._izhs_3617650321,2300000,ИЖС,18.0,127777,хутор Прогресс,16.08.2023,1 день назад
138,https://www.avito.ru/nevinnomyssk/zemelnye_uchastki/uchastok_37sot._izhs_2362185989,590000,ИЖС,3.7,159459,Невинномысск,17.08.2023,20 часов назад
139,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_45sot._izhs_3249212437,2150000,ИЖС,4.5,477777,"Ставрополь, садовое товарищество Росгипрозем",16.08.2023,1 день назад
140,https://www.avito.ru/essentukskaya/zemelnye_uchastki/uchastok_10sot._izhs_3114737816,5800000,ИЖС,10.0,580000,Ессентукская,17.08.2023,18 часов назад
141,https://www.avito.ru/stavropolskiy_kray_mihaylovsk/zemelnye_uchastki/uchastok_87sot._izhs_3125023611,2680000,ИЖС,8.7,308045,Михайловск,17.08.2023,21 час назад
142,https://www.avito.ru/essentukskaya/zemelnye_uchastki/uchastok_6sot._izhs_3197265247,2500000,ИЖС,6.0,416666,станица Ессентукская,17.08.2023,21 час назад
143,https://www.avito.ru/demino/zemelnye_uchastki/uchastok_6sot._izhs_3199258584,1500000,ИЖС,6.0,250000,"хутор Дёмино, садовое товарищество Альфа",16.08.2023,1 день назад
144,https://www.avito.ru/staromarevka/zemelnye_uchastki/uchastok_15sot._izhs_1779450006,750000,ИЖС,15.0,50000,с. Старомарьевка,16.08.2023,1 день назад
145,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._snt_dnp_2732811024,300000,"СНТ, ДНП",6.0,50000,Ставрополь,17.08.2023,23 часа назад
146,https://www.avito.ru/inozemtsevo_kp/zemelnye_uchastki/uchastok_5sot._izhs_3351911734,950000,ИЖС,5.0,190000,"пос. Иноземцево, СНТ Машук-1",14.08.2023,3 дня назад
147,https://www.avito.ru/stavropolskiy_kray_grachevka/zemelnye_uchastki/uchastok_35ga_snt_dnp_3040470819,1110,"СНТ, ДНП",350.0,3,с. Грачёвка,17.08.2023,18 часов назад
148,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_37sot._snt_dnp_3199740667,680000,"СНТ, ДНП",3.7,183783,хутор Садовый,17.08.2023,18 часов назад
149,https://www.avito.ru/pokoynoe/zemelnye_uchastki/uchastok_12_sot._izhs_1436837755,200000,ИЖС,12.0,16666,с. Покойное,16.08.2023,1 день назад
